timestamp_s,x,y,z,qx,qy,qz,qw
1773244217.939152,0.145379,0.150464,0.517017,-0.995446,-0.003533,0.075789,-0.057710
1773244217.977498,0.152369,0.164242,0.523883,-0.987867,-0.009070,0.074146,-0.136156
1773244218.007988,0.163729,0.187495,0.531914,-0.956920,-0.017139,0.070907,-0.281039
1773244218.039148,0.163729,0.187495,0.531914,-0.956920,-0.017139,0.070907,-0.281039
1773244218.074536,0.163729,0.187495,0.531914,-0.956920,-0.017139,0.070907,-0.281039
1773244218.106585,0.180571,0.223856,0.539236,-0.870439,-0.029344,0.062813,-0.487369
1773244218.139691,0.191370,0.252317,0.539566,-0.919865,-0.034380,0.061204,-0.385903
1773244218.172519,0.191370,0.252317,0.539566,-0.919865,-0.034380,0.061204,-0.385903
1773244218.206992,0.200213,0.282745,0.538979,-0.656859,-0.082939,0.020689,-0.749153
1773244218.240010,0.202450,0.298008,0.536526,-0.823525,-0.086399,0.027030,-0.560011
1773244218.272472,0.202450,0.298008,0.536526,-0.823525,-0.086399,0.027030,-0.560011
1773244218.308130,0.202291,0.310713,0.532015,-0.858164,-0.096748,0.022303,-0.503683
1773244218.339157,0.201263,0.320488,0.524849,-0.920829,-0.098201,0.022899,-0.376705
1773244218.372457,0.198425,0.328446,0.517748,-0.963485,-0.094038,0.024989,-0.249457
1773244218.407613,0.187368,0.342906,0.502576,-0.996313,-0.080043,0.028623,-0.011548
1773244218.439550,0.187368,0.342906,0.502576,-0.996313,-0.080043,0.028623,-0.011548
1773244218.472458,0.180697,0.350624,0.495205,-0.993319,-0.073381,0.029397,0.084073
1773244218.507814,0.168760,0.364735,0.483252,-0.975811,-0.073867,0.023950,0.204359
1773244218.539164,0.168760,0.364735,0.483252,-0.975811,-0.073867,0.023950,0.204359
1773244218.572503,0.164842,0.371225,0.480666,-0.972192,-0.075208,0.022419,0.220643
1773244218.607111,0.157566,0.380306,0.476351,-0.968231,-0.079879,0.018977,0.236195
1773244218.639114,0.152987,0.388678,0.476853,-0.974702,-0.086799,0.016109,0.205334
1773244218.672427,0.149472,0.400437,0.478927,-0.986241,-0.095943,0.013258,0.133968
1773244218.707830,0.143540,0.409141,0.480869,-0.993311,-0.106563,0.009388,0.043457
1773244218.739205,0.143540,0.409141,0.480869,-0.993311,-0.106563,0.009388,0.043457
1773244218.781939,0.143540,0.409141,0.480869,-0.993311,-0.106563,0.009388,0.043457
1773244218.807219,0.126188,0.423141,0.481460,-0.990014,-0.110937,0.011171,-0.086255
1773244218.840086,0.120389,0.424728,0.477017,-0.993782,-0.105957,0.013796,-0.031292
1773244218.873546,0.112965,0.430638,0.472719,-0.992966,-0.096869,0.017504,0.065797
1773244218.907423,0.106350,0.436949,0.468033,-0.983133,-0.087126,0.020800,0.159454
1773244218.941442,0.100354,0.440877,0.461109,-0.966272,-0.072879,0.026366,0.245586
1773244218.972525,0.100354,0.440877,0.461109,-0.966272,-0.072879,0.026366,0.245586
1773244219.006491,0.094158,0.446577,0.446145,-0.965289,-0.049031,0.041255,0.253201
1773244219.039213,0.090900,0.451051,0.438232,-0.991404,-0.050941,0.046263,0.111277
1773244219.072429,0.089215,0.454456,0.434850,-0.996364,-0.054170,0.046662,0.046331
1773244219.107696,0.083747,0.461549,0.424229,-0.994560,-0.065859,0.044023,-0.067644
1773244219.140175,0.077632,0.468683,0.416773,-0.996602,-0.066168,0.044007,-0.021680
1773244219.174312,0.077632,0.468683,0.416773,-0.996602,-0.066168,0.044007,-0.021680
1773244219.206664,0.068285,0.481870,0.402524,-0.970034,-0.063739,0.039704,0.231075
1773244219.238958,0.064155,0.489471,0.395453,-0.949360,-0.066790,0.035590,0.304938
1773244219.273856,0.061633,0.496524,0.389623,-0.939945,-0.073406,0.031148,0.331879
1773244219.308813,0.060300,0.503380,0.386743,-0.945540,-0.078058,0.029430,0.314634
1773244219.342872,0.060300,0.503380,0.386743,-0.945540,-0.078058,0.029430,0.314634
1773244219.377598,0.059327,0.509888,0.383367,-0.954860,-0.083211,0.027977,0.283788
1773244219.407546,0.057591,0.516193,0.382403,-0.964965,-0.091065,0.025478,0.244747
1773244219.439397,0.056118,0.521387,0.382044,-0.970365,-0.095841,0.023988,0.220524
1773244219.472481,0.054649,0.525275,0.381385,-0.970799,-0.097816,0.023152,0.217819
1773244219.507138,0.053748,0.532283,0.381016,-0.967905,-0.097438,0.022845,0.230528
1773244219.539043,0.054413,0.535938,0.380768,-0.972839,-0.096107,0.023956,0.209223
1773244219.572521,0.055895,0.538500,0.381448,-0.979252,-0.096414,0.024545,0.176542
1773244219.608212,0.055895,0.538500,0.381448,-0.979252,-0.096414,0.024545,0.176542
1773244219.639171,0.056852,0.540981,0.381189,-0.987038,-0.096642,0.025600,0.125546
1773244219.672448,0.057460,0.544984,0.377503,-0.994694,-0.094120,0.028577,0.030147
1773244219.707389,0.057460,0.544984,0.377503,-0.994694,-0.094120,0.028577,0.030147
1773244219.739213,0.057622,0.546937,0.375070,-0.995244,-0.091712,0.029996,0.013329
1773244219.772362,0.059947,0.549687,0.373628,-0.995204,-0.093162,0.029710,0.002756
1773244219.806632,0.061143,0.551095,0.373803,-0.994768,-0.096713,0.027868,0.017484
1773244219.839437,0.062557,0.552099,0.374810,-0.994370,-0.099465,0.026446,0.025203
1773244219.872151,0.064970,0.552178,0.376629,-0.994024,-0.101311,0.025379,0.031754
1773244219.906273,0.066342,0.551343,0.380263,-0.994440,-0.101074,0.025657,0.014683
1773244219.940213,0.067537,0.551095,0.382739,-0.994604,-0.099656,0.026188,0.012037
1773244219.972679,0.068570,0.549213,0.388133,-0.994834,-0.097498,0.026887,0.008776
1773244220.007165,0.068834,0.548077,0.393098,-0.995018,-0.095529,0.027437,0.007724
1773244220.045655,0.068834,0.548077,0.393098,-0.995018,-0.095529,0.027437,0.007724
1773244220.072851,0.069830,0.545957,0.403795,-0.994198,-0.089491,0.028634,0.052370
1773244220.106553,0.069701,0.543770,0.410305,-0.992156,-0.085118,0.029636,0.086617
1773244220.139117,0.069701,0.543770,0.410305,-0.992156,-0.085118,0.029636,0.086617
1773244220.172393,0.069355,0.537105,0.423327,-0.989102,-0.077516,0.032237,0.120955
1773244220.206736,0.070342,0.533457,0.431292,-0.988402,-0.074837,0.033342,0.127864
1773244220.239159,0.070342,0.533457,0.431292,-0.988402,-0.074837,0.033342,0.127864
1773244220.272169,0.069577,0.526851,0.445698,-0.988914,-0.074022,0.033770,0.124217
1773244220.306866,0.069343,0.522507,0.453845,-0.989486,-0.075633,0.032953,0.118793
1773244220.339060,0.069343,0.522507,0.453845,-0.989486,-0.075633,0.032953,0.118793
1773244220.372271,0.068385,0.513858,0.466828,-0.990477,-0.077461,0.031875,0.109262
1773244220.406309,0.067526,0.508102,0.473967,-0.992474,-0.079657,0.031083,0.087661
1773244220.439208,0.067526,0.508102,0.473967,-0.992474,-0.079657,0.031083,0.087661
1773244220.472383,0.066706,0.501955,0.480783,-0.995198,-0.083906,0.029759,0.040672
1773244220.506994,0.064352,0.488792,0.492692,-0.995990,-0.084172,0.030274,-0.001654
1773244220.539171,0.064352,0.488792,0.492692,-0.995990,-0.084172,0.030274,-0.001654
1773244220.572434,0.061990,0.479487,0.498712,-0.996236,-0.080405,0.032220,0.003182
1773244220.607200,0.058487,0.461176,0.508086,-0.995660,-0.065770,0.039309,0.052817
1773244220.639489,0.056708,0.452701,0.511550,-0.993110,-0.058404,0.042370,0.092335
1773244220.672883,0.055247,0.442314,0.516045,-0.985525,-0.048071,0.046135,0.155892
1773244220.708323,0.054263,0.431237,0.520741,-0.969857,-0.037928,0.048749,0.235717
1773244220.739579,0.053671,0.421784,0.525627,-0.952107,-0.029948,0.050290,0.300111
1773244220.772556,0.052801,0.409928,0.530552,-0.919311,-0.019896,0.051225,0.389677
1773244220.806713,0.051395,0.397709,0.535426,-0.891602,-0.012879,0.051498,0.449698
1773244220.839145,0.050674,0.388155,0.539279,-0.860741,-0.005200,0.051992,0.506354
1773244220.872227,0.050420,0.375469,0.543292,-0.790072,0.005304,0.049867,0.610960
1773244220.906894,0.049843,0.362467,0.546386,-0.705876,0.013073,0.045371,0.706760
1773244220.939990,0.049082,0.351711,0.548779,-0.668862,0.015965,0.043239,0.741956
1773244220.972225,0.049003,0.339217,0.549182,-0.633216,0.020199,0.042155,0.772562
1773244221.007732,0.049508,0.331448,0.546633,-0.593260,0.024577,0.040851,0.803598
1773244221.040626,0.050441,0.317295,0.544561,-0.603622,0.024776,0.042003,0.795778
1773244221.072279,0.051441,0.305620,0.541016,-0.666667,0.018892,0.044772,0.743770
1773244221.109191,0.052319,0.298101,0.538747,-0.705914,0.015026,0.046468,0.706612
1773244221.139460,0.054049,0.284245,0.534168,-0.776883,0.004963,0.047941,0.627797
